texto_pregunta,tema_id,opciones,indices_correctos,explicacion
"¿Qué diferencia fundamental existe entre la protección y la seguridad en un sistema operativo moderno?",1,"[""La protección se refiere a mecanismos internos que aíslan procesos entre sí, mientras que la seguridad abarca medidas contra amenazas externas"", ""La protección solo se aplica a los recursos hardware, mientras que la seguridad solo afecta a los recursos software""]",0,"Según la sección 1.5.2, la protección implica revisar la validez de los parámetros de las llamadas al sistema y asegurar que todo acceso a los recursos esté controlado, permitiendo que cada usuario controle el uso de su información. La seguridad, en cambio, se refiere a la protección del sistema respecto a personas ajenas, comenzando con las contraseñas para acceder a los recursos y extendiéndose a la protección contra intentos de acceso no permitidos desde conexiones remotas. Así, la protección se centra en mecanismos internos para aislar procesos y usuarios, mientras que la seguridad aborda amenazas externas."
"En el modelo cliente-servidor con micronúcleo, ¿por qué se prefiere que los servidores ejecuten mensajes especiales capturados por el micronúcleo en lugar de incluir los servidores en el núcleo?",1,"[""Para reducir el tamaño total del código del sistema operativo en memoria"", ""Para mantener las ventajas de seguridad y fiabilidad de ejecutar los servidores en modo usuario""]",1,"Como se explica en la sección 1.6.3, existen dos soluciones para que los servidores puedan realizar operaciones privilegiadas: incluirlos en el núcleo o usar mensajes especiales capturados por el micronúcleo. La segunda opción es preferible porque mantiene todas las ventajas de ejecutar los servidores en modo usuario, como el aislamiento de fallos (un fallo en un servidor no afecta al resto del sistema) y la seguridad (el micronúcleo verifica si el servidor tiene permiso para realizar la operación solicitada)."
"¿Qué ventaja ofrecen los sistemas operativos distribuidos sobre los sistemas operativos de red en términos de gestión de recursos?",1,"[""Los sistemas distribuidos ofrecen transparencia de localización, por lo que los usuarios no necesitan conocer dónde se encuentran físicamente los recursos"", ""Los sistemas distribuidos solo permiten la ejecución local de programas, lo que optimiza el uso de recursos""]",0,"Como se explica en la sección 1.4.3, en los sistemas operativos distribuidos el usuario no es consciente del lugar donde se ejecutan sus programas ni dónde se encuentran sus ficheros (transparencia de localización). Esto contrasta con los sistemas operativos de red (sección 1.4.2), donde los usuarios son conscientes de la existencia de varios ordenadores conectados mediante una red, y deben saber explícitamente en qué máquina se encuentran los recursos que desean utilizar."
"¿Qué problema fundamental de los primeros sistemas de procesamiento por lotes intentó resolver la introducción de las tarjetas de control?",1,"[""La necesidad de una forma estandarizada para que los usuarios especificaran qué operaciones deseaban realizar con sus trabajos"", ""La lentitud en la carga manual de programas mediante conmutadores en la consola""]",0,"Como se explica en la sección 1.3.2, durante la transición de la primera a la segunda generación, se desarrolló el sistema de procesamiento por lotes, que dio lugar a los primeros sistemas operativos rudimentarios como el monitor residente. Este sistema interpretaba las instrucciones de las tarjetas de control insertadas entre las tarjetas normales de datos, que indicaban el inicio y final de un trabajo, el tipo de trabajo a realizar (compilación, ejecución, etc.). Estas tarjetas proporcionaban una forma estandarizada para que los usuarios especificaran sus necesidades, similar a las órdenes que hoy se introducen por teclado en una consola."
"En el contexto de la estructura de los sistemas operativos, ¿qué ventaja principal ofrece el modelo cliente-servidor con micronúcleo para el desarrollo de sistemas distribuidos?",1,"[""Mayor eficiencia en la ejecución de código al minimizar las transiciones entre modo usuario y modo núcleo"", ""Un cliente se comunica con el servidor mediante mensajes independientemente de si están en la misma o en diferentes máquinas""]",1,"Como se indica en la sección 1.6.3, una ventaja del modelo cliente-servidor es su capacidad de adaptación a los sistemas distribuidos. Un cliente se comunica con el servidor por medio de mensajes, sin importar si ambos están en la misma o en diferentes máquinas. En lo que respecta al cliente, ocurre lo mismo en ambos casos: se envía una solicitud y se recibe una respuesta. Esta transparencia en la comunicación facilita enormemente el desarrollo de sistemas distribuidos, ya que los clientes no necesitan conocer la ubicación física de los servidores."
"¿Qué concepto fundamental de los sistemas operativos permite que múltiples programas compartan la CPU sin interferir entre sí?",1,"[""La combinación de modos de ejecución, protección de memoria e interrupciones periódicas"", ""La virtualización completa del hardware mediante hipervisores""]",0,"Como se explica en la sección 1.2, la protección del sistema operativo y la separación entre programas requiere tres mecanismos hardware básicos que deben funcionar conjuntamente: modos de ejecución del procesador (para distinguir código privilegiado de código de usuario), protección de la memoria (para evitar que un programa acceda a zonas de memoria de otros), e interrupciones periódicas (para que el sistema operativo pueda retomar el control periódicamente y reasignar la CPU). Esta combinación permite la multiprogramación y el tiempo compartido, donde múltiples programas pueden compartir la CPU sin interferir entre sí."
"¿Qué característica fundamental distingue a la quinta generación de sistemas operativos (1995-actualidad) de las generaciones anteriores?",1,"[""La capacidad de ejecutar múltiples programas simultáneamente mediante multiprogramación"", ""La adaptación a paradigmas de conexión, movilidad y computación en la nube""]",1,"Como se indica en la sección 1.3.5, lo que caracteriza a la quinta generación es la explosión del uso de Internet (y sus servicios como el cloud computing) y la proliferación de dispositivos móviles. Los sistemas operativos de esta generación han tenido que adaptarse a nuevos paradigmas de conexión, movilidad y computación en la nube, a diferencia de las generaciones anteriores que se centraban en mejoras de hardware, multiprogramación o interfaces gráficas."
"¿Qué componente fundamental del sistema operativo es responsable de controlar el acceso a los recursos definidos en un sistema de computación?",1,"[""El sistema de protección"", ""El planificador de CPU""]",0,"Como se describe en la sección 1.5.1, el sistema de protección es el componente responsable de controlar el acceso de los procesos (y, por ende, de los usuarios) a los recursos definidos en un sistema de computación: ficheros, impresoras, unidades de disco, etc. Este mecanismo debe ofrecer un medio para especificar los controles que se impondrán junto con la manera de ponerlos en práctica, asegurando que los recursos solo puedan ser usados por aquellos procesos que han recibido la correspondiente autorización."
"En el contexto de la evolución histórica de los sistemas operativos, ¿qué innovación de la segunda generación fue crucial para la posterior aparición de la multitarea?",1,"[""La introducción de los buffers y spoolers que permitían la superposición de E/S y cómputo"", ""El desarrollo de sistemas de procesamiento por lotes con tarjetas de control""]",0,"Como se explica en la sección 1.3.2 la introducción de buffers y spoolers en la segunda generación permitió la superposición de la E/S y el cómputo logrando que ambos funcionaran en paralelo. Con los spoolers incluso se consiguió la superposición de la E/S de unos programas con el cómputo de otros. El texto señala explícitamente que "es en la multiprogramación y en el tiempo compartido que aparecen en la siguiente generación donde esta técnica mostrará todo su potencial". Por tanto estos mecanismos sentaron las bases conceptuales para la posterior multitarea y multiprogramación."
"¿Cuál es la principal diferencia entre un programa del sistema y una llamada al sistema?",1,"[""Los programas del sistema son aplicaciones completas que se ejecutan en modo usuario, mientras que las llamadas al sistema son interfaces para acceder a servicios del núcleo"", ""Los programas del sistema solo pueden ser ejecutados por administradores, mientras que las llamadas al sistema están disponibles para cualquier usuario""]",0,"Como se explica en las secciones 1.5.3 y 1.5.4, las llamadas al sistema definen la interfaz entre el sistema operativo y un programa en ejecución, permitiendo el acceso a los servicios del núcleo. Son instrucciones en ensamblador que hacen que la ejecución pase de modo usuario a modo núcleo. En cambio, los programas del sistema son programas que acompañan al sistema operativo para ofrecer un entorno más cómodo para el desarrollo y ejecución de programas (editores, compiladores, herramientas de manipulación de ficheros, etc.). Desde el punto de vista del sistema operativo, no existe diferencia entre un programa del sistema y un programa de usuario; ambos son aplicaciones que se ejecutan en modo usuario y utilizan llamadas al sistema para acceder a servicios del núcleo."
